file	line	term	status	text
MANUSCRIPT_CAIC.md	91	fdr	OK_BOUNDED	The PGAA-H histogram-shape diagnostic (n_bins = 20, 500 permutations) ranks ELANE at position 57 (p = 0.04), a 25-fold rank improvement over the Wasserstein statistic (Table 3). With 500 permutations, this p-value is interpreted as ranking evidence rather than genome-wide significance, and no FDR-controlled CEBPE gene discovery is claimed. The p-value distribution is acceptable in this pre-specified setting (uncapped Storey upper-tail ratio = 1.32 with 200 permutations in the sensitivity run; approximately 1.0 with 500 permutations). The top genes by raw PGAA-H value (SLC45A1, DLX2, ATP5E) are not known CEBPE targets; ELANE's stronger rank by permutation p-value reflects its favorable null distribution relative to other genes. Across the full nine-gene CEBPE target set, only ELANE reaches p < 0.05 in the PGAA-H analysis; PRTN3 is also within the top 100 by permutation p-value but does not pass the nominal threshold (p = 0.068). The AUROC is 0.476 and AUPRC is 0.0076. Thus, the Norman result should be read as a focused ELANE/PRTN3 ranking signal, not broad recovery of the complete granulocytic target program. As a calibration check, we applied the PGAA-H diagnostic to all six perturbations using the CEBPE target gene set as the reference positive set. ELANE was ranked strongly for CEBPE and also for the severely over-sensitive BAK1 perturbation, where the tail ratio was 0.10. For the well-calibrated KLF1 perturbation, ELANE was not supported (p = 0.70, uncapped tail ratio = 1.15). For CBL, SLC4A1, and DUSP9, ELANE p-values were 0.58, 0.16, and 0.90 respectively. This analysis is treated as perturbation-level calibration context rather than specificity proof; over-sensitive perturbations should not be interpreted as formal discoveries. Target-level details are provided in Supplementary Table 4.
MANUSCRIPT_CAIC.md	91	genome-wide	OK_BOUNDED	The PGAA-H histogram-shape diagnostic (n_bins = 20, 500 permutations) ranks ELANE at position 57 (p = 0.04), a 25-fold rank improvement over the Wasserstein statistic (Table 3). With 500 permutations, this p-value is interpreted as ranking evidence rather than genome-wide significance, and no FDR-controlled CEBPE gene discovery is claimed. The p-value distribution is acceptable in this pre-specified setting (uncapped Storey upper-tail ratio = 1.32 with 200 permutations in the sensitivity run; approximately 1.0 with 500 permutations). The top genes by raw PGAA-H value (SLC45A1, DLX2, ATP5E) are not known CEBPE targets; ELANE's stronger rank by permutation p-value reflects its favorable null distribution relative to other genes. Across the full nine-gene CEBPE target set, only ELANE reaches p < 0.05 in the PGAA-H analysis; PRTN3 is also within the top 100 by permutation p-value but does not pass the nominal threshold (p = 0.068). The AUROC is 0.476 and AUPRC is 0.0076. Thus, the Norman result should be read as a focused ELANE/PRTN3 ranking signal, not broad recovery of the complete granulocytic target program. As a calibration check, we applied the PGAA-H diagnostic to all six perturbations using the CEBPE target gene set as the reference positive set. ELANE was ranked strongly for CEBPE and also for the severely over-sensitive BAK1 perturbation, where the tail ratio was 0.10. For the well-calibrated KLF1 perturbation, ELANE was not supported (p = 0.70, uncapped tail ratio = 1.15). For CBL, SLC4A1, and DUSP9, ELANE p-values were 0.58, 0.16, and 0.90 respectively. This analysis is treated as perturbation-level calibration context rather than specificity proof; over-sensitive perturbations should not be interpreted as formal discoveries. Target-level details are provided in Supplementary Table 4.
MANUSCRIPT_CAIC.md	119	significant	OK_BOUNDED	The PGAA-H histogram-shape diagnostic depends on the number of histogram bins, and the dependence is non-trivial. We tested n_bins values of 20, 30, 50, 75, 100 and 150 on Norman 2019 CEBPE, using 200 permutations for the sensitivity sweep; the main CEBPE result uses 500 permutations. The full sweep is reported in Supplementary Table 5. In brief, ELANE ranks well at n_bins = 20 (rank 32, p = 0.025, uncapped tail ratio = 1.32 in the 200-permutation sweep), collapses at n_bins = 30 (rank 1807, p=0.672), and larger bin counts produce many nominally significant genes with low tail-ratio values (0.23-0.25). This is a sharp failure mode rather than a gradual degradation. We therefore treat PGAA-H as a guarded diagnostic with a pre-specified decision rule: choose n_bins from a small pilot grid before interpreting the perturbation of interest, require an acceptable upper-tail diagnostic on a negative-control or unrelated perturbation, and do not tune n_bins to improve a target-gene rank. We recommend n_bins = 20 as the manuscript starting setting, with a pilot sweep over n_bins = 10, 20, 30 and 50 on a control or null perturbation to verify that the chosen value does not fall into a peak-merging failure mode.
MANUSCRIPT_CAIC.md	127	discovery	OK_BOUNDED	These results support a simple analysis hierarchy. The Wasserstein statistic is the starting ranking score for standard knockout or overexpression screens and for unknown response modes. The PGAA-H histogram-shape diagnostic should be used only as a secondary diagnostic when discrete responder states are biologically plausible, and only after negative-control calibration and bin-sensitivity checks. The combined z-score can be used as an exploratory ranking score when both mean/distributional shift and shape change are expected, but it is not treated as an inferential discovery test here.
MANUSCRIPT_CAIC.md	133	biomarker	OK_BOUNDED	As an external stress check outside curated perturbation benchmarks, Wasserstein enriches known pathway markers 2.1-5.8x over background across five observational single-cell datasets with clinical or disease relevance (CLL 4.0x, Sepsis 2.1x, RA 2.5x, PBMC 2.9x, IBD 5.8x). On CLL, the B-cell receptor signaling gene set (CD79A, CD79B, MS4A1, CD24, BANK1, LYN, BLNK, SYK, BTK, PLCG2, PIK3CD, CD19, CD22) appears prominently in the top 100, with AUROC 0.87 for known-marker recovery (Supplementary Table 6). This result is biologically coherent because B-cell receptor signaling is a central axis in CLL, but the analysis should be read as marker prioritization from public observational data rather than as causal or biomarker evidence.
MANUSCRIPT_CAIC.md	133	clinical	OK_BOUNDED	As an external stress check outside curated perturbation benchmarks, Wasserstein enriches known pathway markers 2.1-5.8x over background across five observational single-cell datasets with clinical or disease relevance (CLL 4.0x, Sepsis 2.1x, RA 2.5x, PBMC 2.9x, IBD 5.8x). On CLL, the B-cell receptor signaling gene set (CD79A, CD79B, MS4A1, CD24, BANK1, LYN, BLNK, SYK, BTK, PLCG2, PIK3CD, CD19, CD22) appears prominently in the top 100, with AUROC 0.87 for known-marker recovery (Supplementary Table 6). This result is biologically coherent because B-cell receptor signaling is a central axis in CLL, but the analysis should be read as marker prioritization from public observational data rather than as causal or biomarker evidence.
MANUSCRIPT_CAIC.md	133	causal	OK_BOUNDED	As an external stress check outside curated perturbation benchmarks, Wasserstein enriches known pathway markers 2.1-5.8x over background across five observational single-cell datasets with clinical or disease relevance (CLL 4.0x, Sepsis 2.1x, RA 2.5x, PBMC 2.9x, IBD 5.8x). On CLL, the B-cell receptor signaling gene set (CD79A, CD79B, MS4A1, CD24, BANK1, LYN, BLNK, SYK, BTK, PLCG2, PIK3CD, CD19, CD22) appears prominently in the top 100, with AUROC 0.87 for known-marker recovery (Supplementary Table 6). This result is biologically coherent because B-cell receptor signaling is a central axis in CLL, but the analysis should be read as marker prioritization from public observational data rather than as causal or biomarker evidence.
MANUSCRIPT_CAIC.md	135	causal	OK_BOUNDED	"These five datasets are observational--the ""perturbation"" is defined by binning cells on endogenous marker or pathway-associated expression, not by an experimental intervention--so the results demonstrate marker recovery rather than causal interpretation. In the observational CLL marker-recovery setting, Wasserstein produced biologically coherent rankings but was not uniformly superior to all conventional ranking baselines. Its value here is as a distribution-aware prioritization score for heterogeneous disease-state contrasts, not as a replacement for standard marker-ranking methods."
MANUSCRIPT_CAIC.md	135	superior	OK_BOUNDED	"These five datasets are observational--the ""perturbation"" is defined by binning cells on endogenous marker or pathway-associated expression, not by an experimental intervention--so the results demonstrate marker recovery rather than causal interpretation. In the observational CLL marker-recovery setting, Wasserstein produced biologically coherent rankings but was not uniformly superior to all conventional ranking baselines. Its value here is as a distribution-aware prioritization score for heterogeneous disease-state contrasts, not as a replacement for standard marker-ranking methods."
MANUSCRIPT_CAIC.md	139	clinical	OK_BOUNDED	The CLL analysis uses rank-based inverse-normal scores (Supplementary Methods, CLL rank-score analysis) rather than full permutation calibration--a lighter-weight approach appropriate when only relative gene ordering matters rather than formal significance testing (Supplementary Figure 5). The cross-dataset marker-recovery source data and CLL comparator results are retained in Supplementary Table 6. We do not use these observational datasets as causal or clinical evidence. Figure 5 summarizes the external marker-recovery stress checks and the CLL comparator analysis.
MANUSCRIPT_CAIC.md	139	causal	OK_BOUNDED	The CLL analysis uses rank-based inverse-normal scores (Supplementary Methods, CLL rank-score analysis) rather than full permutation calibration--a lighter-weight approach appropriate when only relative gene ordering matters rather than formal significance testing (Supplementary Figure 5). The cross-dataset marker-recovery source data and CLL comparator results are retained in Supplementary Table 6. We do not use these observational datasets as causal or clinical evidence. Figure 5 summarizes the external marker-recovery stress checks and the CLL comparator analysis.
MANUSCRIPT_CAIC.md	148	discovery	OK_BOUNDED	These results suggest a practical two-pronged strategy for distribution-aware single-cell perturbation analysis. The Wasserstein statistic is a useful starting distributional score when the perturbation type is unknown, including when marker-anchored scRNA-seq contrasts are used to prioritize candidate response programs for follow-up. The PGAA-H histogram-shape diagnostic fills a narrower niche--CRISPRa screens, weak-effect perturbations, and any setting where the response is expected to be heterogeneous--but requires the user to verify calibration via the Storey upper-tail diagnostic and to run a pilot n_bins sweep before committing to results. PGAA-H's strong dependence on histogram bin count (values at n_bins = 20 and n_bins = 50 correlate at only r = 0.12) means it should be treated as a ranking tool rather than a formal discovery procedure unless substantially more permutations are used.
MANUSCRIPT_CAIC.md	150	discovery	OK_BOUNDED	Several limitations should be noted. First, the Adamson 2016 benchmark is small and has a sparse positive set, so it is proof-of-principle evidence rather than broad validation. Second, the Norman multi-perturbation extension uses curated target-program panels rather than an original-study genome-wide DEG gold standard; its sparse top-rank recovery should be viewed as ranking enrichment, not strong discovery performance. Third, PGAA-H is calibrated differently for different perturbations; the six-perturbation calibration check showed uncapped upper-tail ratios ranging from 0.10 (BAK1, over-sensitive) to 1.15 (KLF1, well-calibrated), so a negative control perturbation is essential. Fourth, the MI and Fisher NB modules are provided as software extensions but have not been benchmarked. Fifth, our simulation uses Gaussian noise for computational efficiency; we verified that PGAA-H does not spuriously increase under a zero-inflated negative-binomial null (mean PGAA-H = 0.031 with 30% dropout; Supplementary Methods, simulation and zero-inflation controls), consistent with evidence that droplet-based scRNA-seq data are well-modeled by the negative binomial without explicit zero-inflation \textsuperscript{15}. Sixth, all primary benchmarks use K-means (k = 5) as a cell-state proxy; sensitivity analyses over k = 3, 5, 10 and no residualization are recommended but not yet completed in this submission package. Seventh, broader genome-scale evaluation against SCEPTRE-family and perturbation-specific methods remains necessary. Finally, the observational disease datasets do not establish new causal disease mechanisms or clinical biomarkers; instead, they show how PGAA can prioritize disease-relevant heterogeneous transcriptional responses for experimental follow-up.
MANUSCRIPT_CAIC.md	150	biomarker	OK_BOUNDED	Several limitations should be noted. First, the Adamson 2016 benchmark is small and has a sparse positive set, so it is proof-of-principle evidence rather than broad validation. Second, the Norman multi-perturbation extension uses curated target-program panels rather than an original-study genome-wide DEG gold standard; its sparse top-rank recovery should be viewed as ranking enrichment, not strong discovery performance. Third, PGAA-H is calibrated differently for different perturbations; the six-perturbation calibration check showed uncapped upper-tail ratios ranging from 0.10 (BAK1, over-sensitive) to 1.15 (KLF1, well-calibrated), so a negative control perturbation is essential. Fourth, the MI and Fisher NB modules are provided as software extensions but have not been benchmarked. Fifth, our simulation uses Gaussian noise for computational efficiency; we verified that PGAA-H does not spuriously increase under a zero-inflated negative-binomial null (mean PGAA-H = 0.031 with 30% dropout; Supplementary Methods, simulation and zero-inflation controls), consistent with evidence that droplet-based scRNA-seq data are well-modeled by the negative binomial without explicit zero-inflation \textsuperscript{15}. Sixth, all primary benchmarks use K-means (k = 5) as a cell-state proxy; sensitivity analyses over k = 3, 5, 10 and no residualization are recommended but not yet completed in this submission package. Seventh, broader genome-scale evaluation against SCEPTRE-family and perturbation-specific methods remains necessary. Finally, the observational disease datasets do not establish new causal disease mechanisms or clinical biomarkers; instead, they show how PGAA can prioritize disease-relevant heterogeneous transcriptional responses for experimental follow-up.
MANUSCRIPT_CAIC.md	150	clinical	OK_BOUNDED	Several limitations should be noted. First, the Adamson 2016 benchmark is small and has a sparse positive set, so it is proof-of-principle evidence rather than broad validation. Second, the Norman multi-perturbation extension uses curated target-program panels rather than an original-study genome-wide DEG gold standard; its sparse top-rank recovery should be viewed as ranking enrichment, not strong discovery performance. Third, PGAA-H is calibrated differently for different perturbations; the six-perturbation calibration check showed uncapped upper-tail ratios ranging from 0.10 (BAK1, over-sensitive) to 1.15 (KLF1, well-calibrated), so a negative control perturbation is essential. Fourth, the MI and Fisher NB modules are provided as software extensions but have not been benchmarked. Fifth, our simulation uses Gaussian noise for computational efficiency; we verified that PGAA-H does not spuriously increase under a zero-inflated negative-binomial null (mean PGAA-H = 0.031 with 30% dropout; Supplementary Methods, simulation and zero-inflation controls), consistent with evidence that droplet-based scRNA-seq data are well-modeled by the negative binomial without explicit zero-inflation \textsuperscript{15}. Sixth, all primary benchmarks use K-means (k = 5) as a cell-state proxy; sensitivity analyses over k = 3, 5, 10 and no residualization are recommended but not yet completed in this submission package. Seventh, broader genome-scale evaluation against SCEPTRE-family and perturbation-specific methods remains necessary. Finally, the observational disease datasets do not establish new causal disease mechanisms or clinical biomarkers; instead, they show how PGAA can prioritize disease-relevant heterogeneous transcriptional responses for experimental follow-up.
MANUSCRIPT_CAIC.md	150	causal	OK_BOUNDED	Several limitations should be noted. First, the Adamson 2016 benchmark is small and has a sparse positive set, so it is proof-of-principle evidence rather than broad validation. Second, the Norman multi-perturbation extension uses curated target-program panels rather than an original-study genome-wide DEG gold standard; its sparse top-rank recovery should be viewed as ranking enrichment, not strong discovery performance. Third, PGAA-H is calibrated differently for different perturbations; the six-perturbation calibration check showed uncapped upper-tail ratios ranging from 0.10 (BAK1, over-sensitive) to 1.15 (KLF1, well-calibrated), so a negative control perturbation is essential. Fourth, the MI and Fisher NB modules are provided as software extensions but have not been benchmarked. Fifth, our simulation uses Gaussian noise for computational efficiency; we verified that PGAA-H does not spuriously increase under a zero-inflated negative-binomial null (mean PGAA-H = 0.031 with 30% dropout; Supplementary Methods, simulation and zero-inflation controls), consistent with evidence that droplet-based scRNA-seq data are well-modeled by the negative binomial without explicit zero-inflation \textsuperscript{15}. Sixth, all primary benchmarks use K-means (k = 5) as a cell-state proxy; sensitivity analyses over k = 3, 5, 10 and no residualization are recommended but not yet completed in this submission package. Seventh, broader genome-scale evaluation against SCEPTRE-family and perturbation-specific methods remains necessary. Finally, the observational disease datasets do not establish new causal disease mechanisms or clinical biomarkers; instead, they show how PGAA can prioritize disease-relevant heterogeneous transcriptional responses for experimental follow-up.
MANUSCRIPT_CAIC.md	150	genome-wide	OK_BOUNDED	Several limitations should be noted. First, the Adamson 2016 benchmark is small and has a sparse positive set, so it is proof-of-principle evidence rather than broad validation. Second, the Norman multi-perturbation extension uses curated target-program panels rather than an original-study genome-wide DEG gold standard; its sparse top-rank recovery should be viewed as ranking enrichment, not strong discovery performance. Third, PGAA-H is calibrated differently for different perturbations; the six-perturbation calibration check showed uncapped upper-tail ratios ranging from 0.10 (BAK1, over-sensitive) to 1.15 (KLF1, well-calibrated), so a negative control perturbation is essential. Fourth, the MI and Fisher NB modules are provided as software extensions but have not been benchmarked. Fifth, our simulation uses Gaussian noise for computational efficiency; we verified that PGAA-H does not spuriously increase under a zero-inflated negative-binomial null (mean PGAA-H = 0.031 with 30% dropout; Supplementary Methods, simulation and zero-inflation controls), consistent with evidence that droplet-based scRNA-seq data are well-modeled by the negative binomial without explicit zero-inflation \textsuperscript{15}. Sixth, all primary benchmarks use K-means (k = 5) as a cell-state proxy; sensitivity analyses over k = 3, 5, 10 and no residualization are recommended but not yet completed in this submission package. Seventh, broader genome-scale evaluation against SCEPTRE-family and perturbation-specific methods remains necessary. Finally, the observational disease datasets do not establish new causal disease mechanisms or clinical biomarkers; instead, they show how PGAA can prioritize disease-relevant heterogeneous transcriptional responses for experimental follow-up.
MANUSCRIPT_CAIC.md	196	discovery	OK_BOUNDED	When a CRISPRa perturbation activates a gene in only a fraction of cells, the expression histogram can change from a single dominant pattern to a heterogeneous responder-associated pattern. The dominant peak-prominence value may then increase substantially, yielding large PGAA-H values. A pure mean shift that preserves the histogram shape leaves PGAA-H comparatively unchanged. The contrast between these two scenarios is what makes PGAA-H complementary to the Wasserstein statistic, but PGAA-H is interpreted here as a ranking and diagnostic statistic rather than as a standalone genome-wide discovery test.
MANUSCRIPT_CAIC.md	196	genome-wide	OK_BOUNDED	When a CRISPRa perturbation activates a gene in only a fraction of cells, the expression histogram can change from a single dominant pattern to a heterogeneous responder-associated pattern. The dominant peak-prominence value may then increase substantially, yielding large PGAA-H values. A pure mean shift that preserves the histogram shape leaves PGAA-H comparatively unchanged. The contrast between these two scenarios is what makes PGAA-H complementary to the Wasserstein statistic, but PGAA-H is interpreted here as a ranking and diagnostic statistic rather than as a standalone genome-wide discovery test.
MANUSCRIPT_CAIC.md	198	discovery	OK_BOUNDED	The choice of n_bins matters. Our sensitivity analysis (Section 2.6) tests n_bins values of 20, 30, 50, 75, 100, and 150. The manuscript starting setting, n_bins = 20, is acceptably calibrated in the Norman 2019 CEBPE run (uncapped upper-tail ratio approximately 1.0-1.3 depending on permutation depth). Larger values can produce more nominal hits at the cost of over-sensitive calibration. For new analyses, we recommend a guarded PGAA-H workflow: pre-specify a small n_bins grid such as 10, 20, 30 and 50; evaluate the grid on a negative-control, null, or unrelated perturbation; keep a setting only if the upper-tail diagnostic is acceptable and the p-value histogram is not over-sensitive; and then apply the chosen setting unchanged to the perturbation of interest. We use 500 within-cluster permutations for the null. With 500 permutations, the minimum attainable p-value is 1/501, approximately 0.0020, which is above the Bonferroni threshold for 2,000 genes (2.5e-5). The PGAA-H permutation p-values therefore support ranking-based evaluation (AUROC) rather than formal FDR-controlled discovery; for genome-wide significance, we recommend n_perms >= 40,000.
MANUSCRIPT_CAIC.md	198	fdr	OK_BOUNDED	The choice of n_bins matters. Our sensitivity analysis (Section 2.6) tests n_bins values of 20, 30, 50, 75, 100, and 150. The manuscript starting setting, n_bins = 20, is acceptably calibrated in the Norman 2019 CEBPE run (uncapped upper-tail ratio approximately 1.0-1.3 depending on permutation depth). Larger values can produce more nominal hits at the cost of over-sensitive calibration. For new analyses, we recommend a guarded PGAA-H workflow: pre-specify a small n_bins grid such as 10, 20, 30 and 50; evaluate the grid on a negative-control, null, or unrelated perturbation; keep a setting only if the upper-tail diagnostic is acceptable and the p-value histogram is not over-sensitive; and then apply the chosen setting unchanged to the perturbation of interest. We use 500 within-cluster permutations for the null. With 500 permutations, the minimum attainable p-value is 1/501, approximately 0.0020, which is above the Bonferroni threshold for 2,000 genes (2.5e-5). The PGAA-H permutation p-values therefore support ranking-based evaluation (AUROC) rather than formal FDR-controlled discovery; for genome-wide significance, we recommend n_perms >= 40,000.
MANUSCRIPT_CAIC.md	198	genome-wide	OK_BOUNDED	The choice of n_bins matters. Our sensitivity analysis (Section 2.6) tests n_bins values of 20, 30, 50, 75, 100, and 150. The manuscript starting setting, n_bins = 20, is acceptably calibrated in the Norman 2019 CEBPE run (uncapped upper-tail ratio approximately 1.0-1.3 depending on permutation depth). Larger values can produce more nominal hits at the cost of over-sensitive calibration. For new analyses, we recommend a guarded PGAA-H workflow: pre-specify a small n_bins grid such as 10, 20, 30 and 50; evaluate the grid on a negative-control, null, or unrelated perturbation; keep a setting only if the upper-tail diagnostic is acceptable and the p-value histogram is not over-sensitive; and then apply the chosen setting unchanged to the perturbation of interest. We use 500 within-cluster permutations for the null. With 500 permutations, the minimum attainable p-value is 1/501, approximately 0.0020, which is above the Bonferroni threshold for 2,000 genes (2.5e-5). The PGAA-H permutation p-values therefore support ranking-based evaluation (AUROC) rather than formal FDR-controlled discovery; for genome-wide significance, we recommend n_perms >= 40,000.
MANUSCRIPT_CAIC.md	307	discovery	REVIEW	31. Storey, J. D. A direct approach to false discovery rates. *J. R. Stat. Soc. Ser. B* **64**, 479--498 (2002).
