claim_id	figure_panel	evidence_type	context	method	metric	metric_value	secondary_metric_value	result_claim_state	internal_failure_state	severity	recommended_action	manuscript_allowed_claim	technical_interpretation	source_table	pseudo_overlap	holm_adjusted_p
s2_nbins::100	parameter_guardrail	s2_parameter_sensitivity	n_bins=100		pi0_and_elane_rank	0.226		failure_or_guardrail	severe_parameter_over_sensitivity	very_high	do_not_tune_on_positive_case	Use only as a parameter-sensitivity failure demonstration.	Bin setting creates too many nominal positives; use only as failure demonstration.	scripts/sensitivity_s2_bins.csv		
s2_nbins::150	parameter_guardrail	s2_parameter_sensitivity	n_bins=150		pi0_and_elane_rank	0.225		failure_or_guardrail	severe_parameter_over_sensitivity	very_high	do_not_tune_on_positive_case	Use only as a parameter-sensitivity failure demonstration.	Bin setting creates too many nominal positives; use only as failure demonstration.	scripts/sensitivity_s2_bins.csv		
norman_decision::KLF1::PGAA_S1_Wasserstein	decision_benchmark	norman_decision_benchmark	KLF1	PGAA_S1_Wasserstein	auroc_auprc_top100_hits	0.68403125	0.0251735559187905	descriptive_only	limited_or_descriptive	moderate	allow_descriptive_claim_only	Report descriptively; do not use as a strong superiority claim.	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/norman_multi_perturbation_summary.csv		
norman_decision::KLF1::KS_statistic	decision_benchmark	norman_decision_benchmark	KLF1	KS_statistic	auroc_auprc_top100_hits	0.53653125	0.0153219632081373	descriptive_only	limited_or_descriptive	moderate	allow_descriptive_claim_only	Report descriptively; do not use as a strong superiority claim.	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/norman_multi_perturbation_summary.csv		
norman_decision::KLF1::Welch_t_abs	decision_benchmark	norman_decision_benchmark	KLF1	Welch_t_abs	auroc_auprc_top100_hits	0.42409375	0.0072508358080136	failure_or_guardrail	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Report as weak evidence, a comparator limit, or a failure mode.	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/norman_multi_perturbation_summary.csv		
norman_decision::KLF1::Wilcoxon_neglog10_p	decision_benchmark	norman_decision_benchmark	KLF1	Wilcoxon_neglog10_p	auroc_auprc_top100_hits	0.49621875	0.0172641606223529	descriptive_only	limited_or_descriptive	moderate	allow_descriptive_claim_only	Report descriptively; do not use as a strong superiority claim.	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/norman_multi_perturbation_summary.csv		
norman_decision::CEBPE::PGAA_S1_Wasserstein	decision_benchmark	norman_decision_benchmark	CEBPE	PGAA_S1_Wasserstein	auroc_auprc_top100_hits	0.6441666666666667	0.0153992895379165	descriptive_only	limited_or_descriptive	moderate	allow_descriptive_claim_only	Report descriptively; do not use as a strong superiority claim.	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/norman_multi_perturbation_summary.csv		
norman_decision::CEBPE::KS_statistic	decision_benchmark	norman_decision_benchmark	CEBPE	KS_statistic	auroc_auprc_top100_hits	0.4974444444444444	0.0053688686635207	descriptive_only	limited_or_descriptive	moderate	allow_descriptive_claim_only	Report descriptively; do not use as a strong superiority claim.	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/norman_multi_perturbation_summary.csv		
norman_decision::CEBPE::Welch_t_abs	decision_benchmark	norman_decision_benchmark	CEBPE	Welch_t_abs	auroc_auprc_top100_hits	0.5699444444444444	0.0053774548366023	descriptive_only	limited_or_descriptive	moderate	allow_descriptive_claim_only	Report descriptively; do not use as a strong superiority claim.	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/norman_multi_perturbation_summary.csv		
norman_decision::CEBPE::Wilcoxon_neglog10_p	decision_benchmark	norman_decision_benchmark	CEBPE	Wilcoxon_neglog10_p	auroc_auprc_top100_hits	0.4838055555555555	0.0053741911339931	descriptive_only	limited_or_descriptive	moderate	allow_descriptive_claim_only	Report descriptively; do not use as a strong superiority claim.	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/norman_multi_perturbation_summary.csv		
norman_decision::CEBPA::PGAA_S1_Wasserstein	decision_benchmark	norman_decision_benchmark	CEBPA	PGAA_S1_Wasserstein	auroc_auprc_top100_hits	0.6649999999999999	0.1243981526594456	descriptive_only	limited_or_descriptive	moderate	allow_descriptive_claim_only	Report descriptively; do not use as a strong superiority claim.	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/norman_multi_perturbation_summary.csv		
norman_decision::CEBPA::KS_statistic	decision_benchmark	norman_decision_benchmark	CEBPA	KS_statistic	auroc_auprc_top100_hits	0.2492777777777778	0.0031592179788597	failure_or_guardrail	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Report as weak evidence, a comparator limit, or a failure mode.	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/norman_multi_perturbation_summary.csv		
norman_decision::CEBPA::Welch_t_abs	decision_benchmark	norman_decision_benchmark	CEBPA	Welch_t_abs	auroc_auprc_top100_hits	0.3811666666666666	0.0038020915918701	failure_or_guardrail	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Report as weak evidence, a comparator limit, or a failure mode.	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/norman_multi_perturbation_summary.csv		
norman_decision::CEBPA::Wilcoxon_neglog10_p	decision_benchmark	norman_decision_benchmark	CEBPA	Wilcoxon_neglog10_p	auroc_auprc_top100_hits	0.2623888888888888	0.0033775785594426	failure_or_guardrail	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Report as weak evidence, a comparator limit, or a failure mode.	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/norman_multi_perturbation_summary.csv		
adamson_decision::SPI1_pDS255::PGAA-W Wasserstein	decision_benchmark	adamson_decision_benchmark	SPI1_pDS255	PGAA-W Wasserstein	auroc_auprc	0.806	0.0223	comparative_support	decision_supported	low	allow_comparative_ranking_claim	May support a bounded comparative ranking claim for this endpoint.	Benchmark row supports a comparative ranking claim with explicit endpoint limits.	scripts/adamson2016_full_results.csv		
adamson_decision::SPI1_pDS255::PGAA-H histogram-shape	decision_benchmark	adamson_decision_benchmark	SPI1_pDS255	PGAA-H histogram-shape	auroc_auprc	0.658	0.011	descriptive_only	limited_or_descriptive	moderate	allow_descriptive_claim_only	Report descriptively; do not use as a strong superiority claim.	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/adamson2016_full_results.csv		
adamson_decision::SPI1_pDS255::Wilcoxon rank-sum	decision_benchmark	adamson_decision_benchmark	SPI1_pDS255	Wilcoxon rank-sum	auroc_auprc	0.687	0.014	descriptive_only	limited_or_descriptive	moderate	allow_descriptive_claim_only	Report descriptively; do not use as a strong superiority claim.	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/adamson2016_full_results.csv		
adamson_decision::SPI1_pDS255::t-test	decision_benchmark	adamson_decision_benchmark	SPI1_pDS255	t-test	auroc_auprc	0.65	0.013	descriptive_only	limited_or_descriptive	moderate	allow_descriptive_claim_only	Report descriptively; do not use as a strong superiority claim.	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/adamson2016_full_results.csv		
adamson_decision::SPI1_pDS255::MAST	decision_benchmark	adamson_decision_benchmark	SPI1_pDS255	MAST	auroc_auprc	0.439	0.0016	failure_or_guardrail	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Report as weak evidence, a comparator limit, or a failure mode.	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv		
adamson_decision::ZNF326_pDS262::PGAA-W Wasserstein	decision_benchmark	adamson_decision_benchmark	ZNF326_pDS262	PGAA-W Wasserstein	auroc_auprc	0.767	0.016	comparative_support	decision_supported	low	allow_comparative_ranking_claim	May support a bounded comparative ranking claim for this endpoint.	Benchmark row supports a comparative ranking claim with explicit endpoint limits.	scripts/adamson2016_full_results.csv		
adamson_decision::ZNF326_pDS262::PGAA-H histogram-shape	decision_benchmark	adamson_decision_benchmark	ZNF326_pDS262	PGAA-H histogram-shape	auroc_auprc	0.7	0.0144	comparative_support	decision_supported	low	allow_comparative_ranking_claim	May support a bounded comparative ranking claim for this endpoint.	Benchmark row supports a comparative ranking claim with explicit endpoint limits.	scripts/adamson2016_full_results.csv		
adamson_decision::ZNF326_pDS262::Wilcoxon rank-sum	decision_benchmark	adamson_decision_benchmark	ZNF326_pDS262	Wilcoxon rank-sum	auroc_auprc	0.526	0.0077	failure_or_guardrail	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Report as weak evidence, a comparator limit, or a failure mode.	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv		
adamson_decision::ZNF326_pDS262::t-test	decision_benchmark	adamson_decision_benchmark	ZNF326_pDS262	t-test	auroc_auprc	0.531	0.0077	failure_or_guardrail	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Report as weak evidence, a comparator limit, or a failure mode.	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv		
adamson_decision::ZNF326_pDS262::MAST	decision_benchmark	adamson_decision_benchmark	ZNF326_pDS262	MAST	auroc_auprc	0.391	0.0013	failure_or_guardrail	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Report as weak evidence, a comparator limit, or a failure mode.	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv		
adamson_decision::BHLHE40_pDS258::PGAA-W Wasserstein	decision_benchmark	adamson_decision_benchmark	BHLHE40_pDS258	PGAA-W Wasserstein	auroc_auprc	0.788	0.0178	comparative_support	decision_supported	low	allow_comparative_ranking_claim	May support a bounded comparative ranking claim for this endpoint.	Benchmark row supports a comparative ranking claim with explicit endpoint limits.	scripts/adamson2016_full_results.csv		
adamson_decision::BHLHE40_pDS258::PGAA-H histogram-shape	decision_benchmark	adamson_decision_benchmark	BHLHE40_pDS258	PGAA-H histogram-shape	auroc_auprc	0.833	0.0594	comparative_support	decision_supported	low	allow_comparative_ranking_claim	May support a bounded comparative ranking claim for this endpoint.	Benchmark row supports a comparative ranking claim with explicit endpoint limits.	scripts/adamson2016_full_results.csv		
adamson_decision::BHLHE40_pDS258::Wilcoxon rank-sum	decision_benchmark	adamson_decision_benchmark	BHLHE40_pDS258	Wilcoxon rank-sum	auroc_auprc	0.466	0.0065	failure_or_guardrail	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Report as weak evidence, a comparator limit, or a failure mode.	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv		
adamson_decision::BHLHE40_pDS258::t-test	decision_benchmark	adamson_decision_benchmark	BHLHE40_pDS258	t-test	auroc_auprc	0.475	0.0066	failure_or_guardrail	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Report as weak evidence, a comparator limit, or a failure mode.	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv		
adamson_decision::BHLHE40_pDS258::MAST	decision_benchmark	adamson_decision_benchmark	BHLHE40_pDS258	MAST	auroc_auprc	0.365	0.0013	failure_or_guardrail	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Report as weak evidence, a comparator limit, or a failure mode.	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv		
adamson_decision::CREB1_pDS269::PGAA-W Wasserstein	decision_benchmark	adamson_decision_benchmark	CREB1_pDS269	PGAA-W Wasserstein	auroc_auprc	0.772	0.0208	comparative_support	decision_supported	low	allow_comparative_ranking_claim	May support a bounded comparative ranking claim for this endpoint.	Benchmark row supports a comparative ranking claim with explicit endpoint limits.	scripts/adamson2016_full_results.csv		
adamson_decision::CREB1_pDS269::PGAA-H histogram-shape	decision_benchmark	adamson_decision_benchmark	CREB1_pDS269	PGAA-H histogram-shape	auroc_auprc	0.781	0.0202	comparative_support	decision_supported	low	allow_comparative_ranking_claim	May support a bounded comparative ranking claim for this endpoint.	Benchmark row supports a comparative ranking claim with explicit endpoint limits.	scripts/adamson2016_full_results.csv		
adamson_decision::CREB1_pDS269::Wilcoxon rank-sum	decision_benchmark	adamson_decision_benchmark	CREB1_pDS269	Wilcoxon rank-sum	auroc_auprc	0.498	0.0106	failure_or_guardrail	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Report as weak evidence, a comparator limit, or a failure mode.	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv		
adamson_decision::CREB1_pDS269::t-test	decision_benchmark	adamson_decision_benchmark	CREB1_pDS269	t-test	auroc_auprc	0.482	0.0092	failure_or_guardrail	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Report as weak evidence, a comparator limit, or a failure mode.	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv		
adamson_decision::CREB1_pDS269::MAST	decision_benchmark	adamson_decision_benchmark	CREB1_pDS269	MAST	auroc_auprc	0.461	0.0015	failure_or_guardrail	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Report as weak evidence, a comparator limit, or a failure mode.	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv		
adamson_decision::DDIT3_pDS263::PGAA-W Wasserstein	decision_benchmark	adamson_decision_benchmark	DDIT3_pDS263	PGAA-W Wasserstein	auroc_auprc	0.799	0.0184	comparative_support	decision_supported	low	allow_comparative_ranking_claim	May support a bounded comparative ranking claim for this endpoint.	Benchmark row supports a comparative ranking claim with explicit endpoint limits.	scripts/adamson2016_full_results.csv		
adamson_decision::DDIT3_pDS263::PGAA-H histogram-shape	decision_benchmark	adamson_decision_benchmark	DDIT3_pDS263	PGAA-H histogram-shape	auroc_auprc	0.769	0.0213	comparative_support	decision_supported	low	allow_comparative_ranking_claim	May support a bounded comparative ranking claim for this endpoint.	Benchmark row supports a comparative ranking claim with explicit endpoint limits.	scripts/adamson2016_full_results.csv		
adamson_decision::DDIT3_pDS263::Wilcoxon rank-sum	decision_benchmark	adamson_decision_benchmark	DDIT3_pDS263	Wilcoxon rank-sum	auroc_auprc	0.468	0.0059	failure_or_guardrail	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Report as weak evidence, a comparator limit, or a failure mode.	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv		
adamson_decision::DDIT3_pDS263::t-test	decision_benchmark	adamson_decision_benchmark	DDIT3_pDS263	t-test	auroc_auprc	0.476	0.006	failure_or_guardrail	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Report as weak evidence, a comparator limit, or a failure mode.	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv		
adamson_decision::DDIT3_pDS263::MAST	decision_benchmark	adamson_decision_benchmark	DDIT3_pDS263	MAST	auroc_auprc	0.375	0.0013	failure_or_guardrail	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Report as weak evidence, a comparator limit, or a failure mode.	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv		
response_specificity::pgaa_w	response_specificity_guardrail	heldout_batch_response_specificity	Replogle_K562_essential_16_target_panel	pgaa_w	median_observed_top100_overlap	0.82	0.0149999999999999	failure_or_guardrail	stability_not_response_specific	high	reject_response_specific_superiority	Do not claim response-specific superiority because pseudo-perturbation stability explains the result.	Observed cross-batch stability is not distinguishable from matched control-versus-control stability.	evidence/replogle_essential_response_specificity_summary.tsv	0.81	0.1398769752539879
response_specificity::pgaa_h	response_specificity_guardrail	heldout_batch_response_specificity	Replogle_K562_essential_16_target_panel	pgaa_h	median_observed_top100_overlap	0.03	0.015	restricted_use	specificity_detected_but_absolute_stability_low	moderate	diagnostic_specificity_only	Report specificity diagnostically because absolute ranking stability is too low.	The specificity margin is positive, but absolute top-k replication is too low for a primary stability claim.	evidence/replogle_essential_response_specificity_summary.tsv	0.015	0.0093167253985772
response_specificity::absolute_mean_shift	response_specificity_guardrail	heldout_batch_response_specificity	Replogle_K562_essential_16_target_panel	absolute_mean_shift	median_observed_top100_overlap	0.675	0.08	comparative_support	pseudo_guarded_stability_support	low	allow_pseudo_guarded_stability_claim	May support a bounded response-stability claim after the pseudo-perturbation gate.	Observed top-k replication exceeds matched pseudo-perturbation stability with multiplicity control.	evidence/replogle_essential_response_specificity_summary.tsv	0.575	0.0184799056491497
response_specificity::welch_abs_t	response_specificity_guardrail	heldout_batch_response_specificity	Replogle_K562_essential_16_target_panel	welch_abs_t	median_observed_top100_overlap	0.07	0.065	restricted_use	specificity_detected_but_absolute_stability_low	moderate	diagnostic_specificity_only	Report specificity diagnostically because absolute ranking stability is too low.	The specificity margin is positive, but absolute top-k replication is too low for a primary stability claim.	evidence/replogle_essential_response_specificity_summary.tsv	0.01	0.0019574130506341
