audit_id	evidence_type	context	metric	metric_value	n_flagged	failure_state	severity	recommended_action	allowed_interpretation	source_table	method	secondary_metric_value
norman_decision::CEBPE::Wilcoxon_neglog10_p	norman_decision_benchmark	CEBPE	auroc_auprc_top100_hits	0.4838055555555555	0	limited_or_descriptive	moderate	allow_descriptive_claim_only	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/norman_multi_perturbation_summary.csv	Wilcoxon_neglog10_p	0.0053741911339931
norman_decision::CEBPA::PGAA_S1_Wasserstein	norman_decision_benchmark	CEBPA	auroc_auprc_top100_hits	0.6649999999999999	2	limited_or_descriptive	moderate	allow_descriptive_claim_only	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/norman_multi_perturbation_summary.csv	PGAA_S1_Wasserstein	0.1243981526594456
norman_decision::CEBPA::KS_statistic	norman_decision_benchmark	CEBPA	auroc_auprc_top100_hits	0.2492777777777778	0	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/norman_multi_perturbation_summary.csv	KS_statistic	0.0031592179788597
norman_decision::CEBPA::Welch_t_abs	norman_decision_benchmark	CEBPA	auroc_auprc_top100_hits	0.3811666666666666	0	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/norman_multi_perturbation_summary.csv	Welch_t_abs	0.0038020915918701
norman_decision::CEBPA::Wilcoxon_neglog10_p	norman_decision_benchmark	CEBPA	auroc_auprc_top100_hits	0.2623888888888888	0	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/norman_multi_perturbation_summary.csv	Wilcoxon_neglog10_p	0.0033775785594426
adamson_decision::SPI1_pDS255::PGAA-W Wasserstein	adamson_decision_benchmark	SPI1_pDS255	auroc_auprc	0.806	0	decision_supported	low	allow_comparative_ranking_claim	Benchmark row supports a comparative ranking claim with explicit endpoint limits.	scripts/adamson2016_full_results.csv	PGAA-W Wasserstein	0.0223
adamson_decision::SPI1_pDS255::PGAA-H histogram-shape	adamson_decision_benchmark	SPI1_pDS255	auroc_auprc	0.658	0	limited_or_descriptive	moderate	allow_descriptive_claim_only	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/adamson2016_full_results.csv	PGAA-H histogram-shape	0.011
adamson_decision::SPI1_pDS255::Wilcoxon rank-sum	adamson_decision_benchmark	SPI1_pDS255	auroc_auprc	0.687	0	limited_or_descriptive	moderate	allow_descriptive_claim_only	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/adamson2016_full_results.csv	Wilcoxon rank-sum	0.014
adamson_decision::SPI1_pDS255::t-test	adamson_decision_benchmark	SPI1_pDS255	auroc_auprc	0.65	0	limited_or_descriptive	moderate	allow_descriptive_claim_only	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/adamson2016_full_results.csv	t-test	0.013
adamson_decision::SPI1_pDS255::MAST	adamson_decision_benchmark	SPI1_pDS255	auroc_auprc	0.439	0	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv	MAST	0.0016
adamson_decision::ZNF326_pDS262::PGAA-W Wasserstein	adamson_decision_benchmark	ZNF326_pDS262	auroc_auprc	0.767	0	decision_supported	low	allow_comparative_ranking_claim	Benchmark row supports a comparative ranking claim with explicit endpoint limits.	scripts/adamson2016_full_results.csv	PGAA-W Wasserstein	0.016
adamson_decision::ZNF326_pDS262::PGAA-H histogram-shape	adamson_decision_benchmark	ZNF326_pDS262	auroc_auprc	0.7	0	decision_supported	low	allow_comparative_ranking_claim	Benchmark row supports a comparative ranking claim with explicit endpoint limits.	scripts/adamson2016_full_results.csv	PGAA-H histogram-shape	0.0144
adamson_decision::ZNF326_pDS262::Wilcoxon rank-sum	adamson_decision_benchmark	ZNF326_pDS262	auroc_auprc	0.526	0	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv	Wilcoxon rank-sum	0.0077
adamson_decision::ZNF326_pDS262::t-test	adamson_decision_benchmark	ZNF326_pDS262	auroc_auprc	0.531	0	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv	t-test	0.0077
adamson_decision::ZNF326_pDS262::MAST	adamson_decision_benchmark	ZNF326_pDS262	auroc_auprc	0.391	0	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv	MAST	0.0013
adamson_decision::BHLHE40_pDS258::PGAA-W Wasserstein	adamson_decision_benchmark	BHLHE40_pDS258	auroc_auprc	0.788	0	decision_supported	low	allow_comparative_ranking_claim	Benchmark row supports a comparative ranking claim with explicit endpoint limits.	scripts/adamson2016_full_results.csv	PGAA-W Wasserstein	0.0178
adamson_decision::BHLHE40_pDS258::PGAA-H histogram-shape	adamson_decision_benchmark	BHLHE40_pDS258	auroc_auprc	0.833	0	decision_supported	low	allow_comparative_ranking_claim	Benchmark row supports a comparative ranking claim with explicit endpoint limits.	scripts/adamson2016_full_results.csv	PGAA-H histogram-shape	0.0594
adamson_decision::BHLHE40_pDS258::Wilcoxon rank-sum	adamson_decision_benchmark	BHLHE40_pDS258	auroc_auprc	0.466	0	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv	Wilcoxon rank-sum	0.0065
adamson_decision::BHLHE40_pDS258::t-test	adamson_decision_benchmark	BHLHE40_pDS258	auroc_auprc	0.475	0	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv	t-test	0.0066
adamson_decision::BHLHE40_pDS258::MAST	adamson_decision_benchmark	BHLHE40_pDS258	auroc_auprc	0.365	0	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv	MAST	0.0013
adamson_decision::CREB1_pDS269::PGAA-W Wasserstein	adamson_decision_benchmark	CREB1_pDS269	auroc_auprc	0.772	0	decision_supported	low	allow_comparative_ranking_claim	Benchmark row supports a comparative ranking claim with explicit endpoint limits.	scripts/adamson2016_full_results.csv	PGAA-W Wasserstein	0.0208
adamson_decision::CREB1_pDS269::PGAA-H histogram-shape	adamson_decision_benchmark	CREB1_pDS269	auroc_auprc	0.781	0	decision_supported	low	allow_comparative_ranking_claim	Benchmark row supports a comparative ranking claim with explicit endpoint limits.	scripts/adamson2016_full_results.csv	PGAA-H histogram-shape	0.0202
adamson_decision::CREB1_pDS269::Wilcoxon rank-sum	adamson_decision_benchmark	CREB1_pDS269	auroc_auprc	0.498	0	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv	Wilcoxon rank-sum	0.0106
adamson_decision::CREB1_pDS269::t-test	adamson_decision_benchmark	CREB1_pDS269	auroc_auprc	0.482	0	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv	t-test	0.0092
adamson_decision::CREB1_pDS269::MAST	adamson_decision_benchmark	CREB1_pDS269	auroc_auprc	0.461	0	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv	MAST	0.0015
adamson_decision::DDIT3_pDS263::PGAA-W Wasserstein	adamson_decision_benchmark	DDIT3_pDS263	auroc_auprc	0.799	0	decision_supported	low	allow_comparative_ranking_claim	Benchmark row supports a comparative ranking claim with explicit endpoint limits.	scripts/adamson2016_full_results.csv	PGAA-W Wasserstein	0.0184
adamson_decision::DDIT3_pDS263::PGAA-H histogram-shape	adamson_decision_benchmark	DDIT3_pDS263	auroc_auprc	0.769	0	decision_supported	low	allow_comparative_ranking_claim	Benchmark row supports a comparative ranking claim with explicit endpoint limits.	scripts/adamson2016_full_results.csv	PGAA-H histogram-shape	0.0213
adamson_decision::DDIT3_pDS263::Wilcoxon rank-sum	adamson_decision_benchmark	DDIT3_pDS263	auroc_auprc	0.468	0	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv	Wilcoxon rank-sum	0.0059
adamson_decision::DDIT3_pDS263::t-test	adamson_decision_benchmark	DDIT3_pDS263	auroc_auprc	0.476	0	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv	t-test	0.006
adamson_decision::DDIT3_pDS263::MAST	adamson_decision_benchmark	DDIT3_pDS263	auroc_auprc	0.375	0	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/adamson2016_full_results.csv	MAST	0.0013
