unit_id	evidence_type	context	omitted_method	omitted_method_role	omitted_method_is_pgaa	baseline_decision_state	perturbed_decision_state	state_preserved	perturbed_primary_method	cross_dataset_status
adamson_decision_benchmark::DDIT3_pDS263	adamson_decision_benchmark	DDIT3_pDS263	PGAA-W Wasserstein	supporting	True	supported_responder_state	supported_responder_state	True	PGAA-H histogram-shape	no_cross_dataset_same_context
adamson_decision_benchmark::DDIT3_pDS263	adamson_decision_benchmark	DDIT3_pDS263	Wilcoxon rank-sum	failure_or_guardrail	False	supported_responder_state	supported_responder_state	True	PGAA-H histogram-shape	no_cross_dataset_same_context
adamson_decision_benchmark::DDIT3_pDS263	adamson_decision_benchmark	DDIT3_pDS263	t-test	failure_or_guardrail	False	supported_responder_state	supported_responder_state	True	PGAA-H histogram-shape	no_cross_dataset_same_context
adamson_decision_benchmark::SPI1_pDS255	adamson_decision_benchmark	SPI1_pDS255	MAST	failure_or_guardrail	False	supported_responder_state	supported_responder_state	True	PGAA-W Wasserstein	no_cross_dataset_same_context
adamson_decision_benchmark::SPI1_pDS255	adamson_decision_benchmark	SPI1_pDS255	PGAA-H histogram-shape	descriptive	True	supported_responder_state	supported_responder_state	True	PGAA-W Wasserstein	no_cross_dataset_same_context
adamson_decision_benchmark::SPI1_pDS255	adamson_decision_benchmark	SPI1_pDS255	PGAA-W Wasserstein	supporting	True	supported_responder_state	provisional_responder_state	False	PGAA-H histogram-shape	no_cross_dataset_same_context
adamson_decision_benchmark::SPI1_pDS255	adamson_decision_benchmark	SPI1_pDS255	Wilcoxon rank-sum	descriptive	False	supported_responder_state	supported_responder_state	True	PGAA-W Wasserstein	no_cross_dataset_same_context
adamson_decision_benchmark::SPI1_pDS255	adamson_decision_benchmark	SPI1_pDS255	t-test	descriptive	False	supported_responder_state	supported_responder_state	True	PGAA-W Wasserstein	no_cross_dataset_same_context
adamson_decision_benchmark::ZNF326_pDS262	adamson_decision_benchmark	ZNF326_pDS262	MAST	failure_or_guardrail	False	supported_responder_state	supported_responder_state	True	PGAA-W Wasserstein	no_cross_dataset_same_context
adamson_decision_benchmark::ZNF326_pDS262	adamson_decision_benchmark	ZNF326_pDS262	PGAA-H histogram-shape	supporting	True	supported_responder_state	supported_responder_state	True	PGAA-W Wasserstein	no_cross_dataset_same_context
adamson_decision_benchmark::ZNF326_pDS262	adamson_decision_benchmark	ZNF326_pDS262	PGAA-W Wasserstein	supporting	True	supported_responder_state	supported_responder_state	True	PGAA-H histogram-shape	no_cross_dataset_same_context
adamson_decision_benchmark::ZNF326_pDS262	adamson_decision_benchmark	ZNF326_pDS262	Wilcoxon rank-sum	failure_or_guardrail	False	supported_responder_state	supported_responder_state	True	PGAA-W Wasserstein	no_cross_dataset_same_context
adamson_decision_benchmark::ZNF326_pDS262	adamson_decision_benchmark	ZNF326_pDS262	t-test	failure_or_guardrail	False	supported_responder_state	supported_responder_state	True	PGAA-W Wasserstein	no_cross_dataset_same_context
norman_decision_benchmark::CEBPA	norman_decision_benchmark	CEBPA	KS_statistic	failure_or_guardrail	False	provisional_responder_state	provisional_responder_state	True	PGAA_S1_Wasserstein	no_cross_dataset_same_context
norman_decision_benchmark::CEBPA	norman_decision_benchmark	CEBPA	PGAA_S1_Wasserstein	descriptive	True	provisional_responder_state	failed_or_limited_state	False	Welch_t_abs	no_cross_dataset_same_context
norman_decision_benchmark::CEBPA	norman_decision_benchmark	CEBPA	Welch_t_abs	failure_or_guardrail	False	provisional_responder_state	provisional_responder_state	True	PGAA_S1_Wasserstein	no_cross_dataset_same_context
norman_decision_benchmark::CEBPA	norman_decision_benchmark	CEBPA	Wilcoxon_neglog10_p	failure_or_guardrail	False	provisional_responder_state	provisional_responder_state	True	PGAA_S1_Wasserstein	no_cross_dataset_same_context
norman_decision_benchmark::CEBPE	norman_decision_benchmark	CEBPE	KS_statistic	descriptive	False	provisional_responder_state	provisional_responder_state	True	PGAA_S1_Wasserstein	no_cross_dataset_same_context
norman_decision_benchmark::CEBPE	norman_decision_benchmark	CEBPE	PGAA_S1_Wasserstein	descriptive	True	provisional_responder_state	descriptive_comparator_state	False	Welch_t_abs	no_cross_dataset_same_context
norman_decision_benchmark::CEBPE	norman_decision_benchmark	CEBPE	Welch_t_abs	descriptive	False	provisional_responder_state	provisional_responder_state	True	PGAA_S1_Wasserstein	no_cross_dataset_same_context
norman_decision_benchmark::CEBPE	norman_decision_benchmark	CEBPE	Wilcoxon_neglog10_p	descriptive	False	provisional_responder_state	provisional_responder_state	True	PGAA_S1_Wasserstein	no_cross_dataset_same_context
norman_decision_benchmark::KLF1	norman_decision_benchmark	KLF1	KS_statistic	descriptive	False	provisional_responder_state	provisional_responder_state	True	PGAA_S1_Wasserstein	no_cross_dataset_same_context
norman_decision_benchmark::KLF1	norman_decision_benchmark	KLF1	PGAA_S1_Wasserstein	descriptive	True	provisional_responder_state	descriptive_comparator_state	False	Wilcoxon_neglog10_p	no_cross_dataset_same_context
norman_decision_benchmark::KLF1	norman_decision_benchmark	KLF1	Welch_t_abs	failure_or_guardrail	False	provisional_responder_state	provisional_responder_state	True	PGAA_S1_Wasserstein	no_cross_dataset_same_context
norman_decision_benchmark::KLF1	norman_decision_benchmark	KLF1	Wilcoxon_neglog10_p	descriptive	False	provisional_responder_state	provisional_responder_state	True	PGAA_S1_Wasserstein	no_cross_dataset_same_context
