upgrade_id	pillar_id	pillar_name	upgrade_point	elevation_type	manuscript_role	evidence_gate	current_status	next_action	claim_boundary	priority_tier
P02.08	P02	Failure-preserving benchmark engine	Turn missing evidence into an auditable state.	from winner-take-all benchmark to failure-aware benchmark governance	methods contribution	failure_mode_audit and claim_panel_summary	partially_implemented_in_current_recharter	Make failure-preserving benchmark governance a named Methods subsection.	failure and guardrail rows cannot be promoted to support claims	tier1_core_thesis
P02.09	P02	Failure-preserving benchmark engine	Separate benchmark usefulness from biological validation.	from winner-take-all benchmark to failure-aware benchmark governance	methods contribution	failure_mode_audit and claim_panel_summary	partially_implemented_in_current_recharter	Make failure-preserving benchmark governance a named Methods subsection.	failure and guardrail rows cannot be promoted to support claims	tier1_core_thesis
P02.10	P02	Failure-preserving benchmark engine	Define top-journal novelty around evidentiary discipline, not only accuracy.	from winner-take-all benchmark to failure-aware benchmark governance	methods contribution	failure_mode_audit and claim_panel_summary	partially_implemented_in_current_recharter	Make failure-preserving benchmark governance a named Methods subsection.	failure and guardrail rows cannot be promoted to support claims	tier1_core_thesis
P03.01	P03	Responder-state decision units	Promote each perturbation context to a responder-state unit.	from gene hit to context-level decision object	results unit definition	responder_state_units and stability summary	partially_implemented_in_current_recharter	Use responder-state units as the canonical unit in Results and Figure 1.	provisional units remain hypotheses until support and stability gates pass	tier1_core_thesis
P03.02	P03	Responder-state decision units	Represent target, context, primary method, and support profile together.	from gene hit to context-level decision object	results unit definition	responder_state_units and stability summary	partially_implemented_in_current_recharter	Use responder-state units as the canonical unit in Results and Figure 1.	provisional units remain hypotheses until support and stability gates pass	tier1_core_thesis
P03.03	P03	Responder-state decision units	Store comparative support, descriptive support, and failure burden per unit.	from gene hit to context-level decision object	results unit definition	responder_state_units and stability summary	partially_implemented_in_current_recharter	Use responder-state units as the canonical unit in Results and Figure 1.	provisional units remain hypotheses until support and stability gates pass	tier1_core_thesis
P03.04	P03	Responder-state decision units	Use the unit, not the gene, as the manuscript claim object.	from gene hit to context-level decision object	results unit definition	responder_state_units and stability summary	partially_implemented_in_current_recharter	Use responder-state units as the canonical unit in Results and Figure 1.	provisional units remain hypotheses until support and stability gates pass	tier1_core_thesis
P03.05	P03	Responder-state decision units	Distinguish supported responder states from provisional responder-state hypotheses.	from gene hit to context-level decision object	results unit definition	responder_state_units and stability summary	partially_implemented_in_current_recharter	Use responder-state units as the canonical unit in Results and Figure 1.	provisional units remain hypotheses until support and stability gates pass	tier1_core_thesis
P03.06	P03	Responder-state decision units	Attach primary and secondary metrics to the same decision unit.	from gene hit to context-level decision object	results unit definition	responder_state_units and stability summary	partially_implemented_in_current_recharter	Use responder-state units as the canonical unit in Results and Figure 1.	provisional units remain hypotheses until support and stability gates pass	tier1_core_thesis
P03.07	P03	Responder-state decision units	Expose PGAA dependence at the unit level.	from gene hit to context-level decision object	results unit definition	responder_state_units and stability summary	partially_implemented_in_current_recharter	Use responder-state units as the canonical unit in Results and Figure 1.	provisional units remain hypotheses until support and stability gates pass	tier1_core_thesis
P03.08	P03	Responder-state decision units	Make method omission a property of each responder-state unit.	from gene hit to context-level decision object	results unit definition	responder_state_units and stability summary	partially_implemented_in_current_recharter	Use responder-state units as the canonical unit in Results and Figure 1.	provisional units remain hypotheses until support and stability gates pass	tier1_core_thesis
P03.09	P03	Responder-state decision units	Let responder units bridge internal benchmarks and external validation.	from gene hit to context-level decision object	results unit definition	responder_state_units and stability summary	partially_implemented_in_current_recharter	Use responder-state units as the canonical unit in Results and Figure 1.	provisional units remain hypotheses until support and stability gates pass	tier1_core_thesis
P03.10	P03	Responder-state decision units	Use unit-level tables as the source for figure and prose generation.	from gene hit to context-level decision object	results unit definition	responder_state_units and stability summary	partially_implemented_in_current_recharter	Use responder-state units as the canonical unit in Results and Figure 1.	provisional units remain hypotheses until support and stability gates pass	tier1_core_thesis
P04.01	P04	Typed replication state	Replace yes/no replication with typed external claim states.	from binary replication to concordant, discordant, unresolved, or blocked state	external validation framing	external_claim_states and external_responder_state_stability	implemented_in_executable_recharter_chain	Add real or synthetic discordant and unresolved external cases to stress every typed replication branch.	external concordance supports only bounded computational same-context replication	tier1_core_thesis
P04.02	P04	Typed replication state	Separate concordant, discordant, unresolved, and blocked external outcomes.	from binary replication to concordant, discordant, unresolved, or blocked state	external validation framing	external_claim_states and external_responder_state_stability	implemented_in_executable_recharter_chain	Add real or synthetic discordant and unresolved external cases to stress every typed replication branch.	external concordance supports only bounded computational same-context replication	tier1_core_thesis
P04.03	P04	Typed replication state	Treat blocked external evidence as an explicit state rather than missing prose.	from binary replication to concordant, discordant, unresolved, or blocked state	external validation framing	external_claim_states and external_responder_state_stability	implemented_in_executable_recharter_chain	Add real or synthetic discordant and unresolved external cases to stress every typed replication branch.	external concordance supports only bounded computational same-context replication	tier1_core_thesis
P04.04	P04	Typed replication state	Compile target-level external PGAA-W and PGAA-H outputs into claim states.	from binary replication to concordant, discordant, unresolved, or blocked state	external validation framing	external_claim_states and external_responder_state_stability	implemented_in_executable_recharter_chain	Add real or synthetic discordant and unresolved external cases to stress every typed replication branch.	external concordance supports only bounded computational same-context replication	tier1_core_thesis
P04.05	P04	Typed replication state	Join external claim states back to internal responder-state units.	from binary replication to concordant, discordant, unresolved, or blocked state	external validation framing	external_claim_states and external_responder_state_stability	implemented_in_executable_recharter_chain	Add real or synthetic discordant and unresolved external cases to stress every typed replication branch.	external concordance supports only bounded computational same-context replication	tier1_core_thesis
P04.06	P04	Typed replication state	Use external discordance as failure-preserving evidence rather than an exclusion.	from binary replication to concordant, discordant, unresolved, or blocked state	external validation framing	external_claim_states and external_responder_state_stability	implemented_in_executable_recharter_chain	Add real or synthetic discordant and unresolved external cases to stress every typed replication branch.	external concordance supports only bounded computational same-context replication	tier1_core_thesis
P04.07	P04	Typed replication state	Make same-context replication computational unless wet-lab evidence exists.	from binary replication to concordant, discordant, unresolved, or blocked state	external validation framing	external_claim_states and external_responder_state_stability	implemented_in_executable_recharter_chain	Add real or synthetic discordant and unresolved external cases to stress every typed replication branch.	external concordance supports only bounded computational same-context replication	tier1_core_thesis
P04.08	P04	Typed replication state	Track whether replication language is allowed, blocked, or unresolved.	from binary replication to concordant, discordant, unresolved, or blocked state	external validation framing	external_claim_states and external_responder_state_stability	implemented_in_executable_recharter_chain	Add real or synthetic discordant and unresolved external cases to stress every typed replication branch.	external concordance supports only bounded computational same-context replication	tier1_core_thesis
P04.09	P04	Typed replication state	Show external status directly in Figure 1 Panel C.	from binary replication to concordant, discordant, unresolved, or blocked state	external validation framing	external_claim_states and external_responder_state_stability	implemented_in_executable_recharter_chain	Add real or synthetic discordant and unresolved external cases to stress every typed replication branch.	external concordance supports only bounded computational same-context replication	tier1_core_thesis
P04.10	P04	Typed replication state	Use typed replication to avoid overclaiming from partial external support.	from binary replication to concordant, discordant, unresolved, or blocked state	external validation framing	external_claim_states and external_responder_state_stability	implemented_in_executable_recharter_chain	Add real or synthetic discordant and unresolved external cases to stress every typed replication branch.	external concordance supports only bounded computational same-context replication	tier1_core_thesis
P05.01	P05	Computational-wet-lab firewall	Encode wet-lab absence as a formal claim ceiling.	from missing wet-lab validation to explicit cross-layer claim control	claim safety boundary	readiness audit and immune evidence ladder	implemented_as_claim_boundary_but_not_as_main_thesis	Keep wet-lab and immune claims blocked unless direct event, ligand, and T-cell evidence exists.	no immune presentation, synthetic peptide, or T-cell function claim without direct evidence	tier1_core_thesis
P05.02	P05	Computational-wet-lab firewall	Block antigen language unless event and ligand evidence exist.	from missing wet-lab validation to explicit cross-layer claim control	claim safety boundary	readiness audit and immune evidence ladder	implemented_as_claim_boundary_but_not_as_main_thesis	Keep wet-lab and immune claims blocked unless direct event, ligand, and T-cell evidence exists.	no immune presentation, synthetic peptide, or T-cell function claim without direct evidence	tier1_core_thesis
P05.03	P05	Computational-wet-lab firewall	Block T-cell function language unless functional evidence exists.	from missing wet-lab validation to explicit cross-layer claim control	claim safety boundary	readiness audit and immune evidence ladder	implemented_as_claim_boundary_but_not_as_main_thesis	Keep wet-lab and immune claims blocked unless direct event, ligand, and T-cell evidence exists.	no immune presentation, synthetic peptide, or T-cell function claim without direct evidence	tier1_core_thesis
P05.04	P05	Computational-wet-lab firewall	Keep immune route infrastructure separate from current PGAA claims.	from missing wet-lab validation to explicit cross-layer claim control	claim safety boundary	readiness audit and immune evidence ladder	implemented_as_claim_boundary_but_not_as_main_thesis	Keep wet-lab and immune claims blocked unless direct event, ligand, and T-cell evidence exists.	no immune presentation, synthetic peptide, or T-cell function claim without direct evidence	tier1_core_thesis
P05.05	P05	Computational-wet-lab firewall	Use the firewall to turn a weakness into methodological honesty.	from missing wet-lab validation to explicit cross-layer claim control	claim safety boundary	readiness audit and immune evidence ladder	implemented_as_claim_boundary_but_not_as_main_thesis	Keep wet-lab and immune claims blocked unless direct event, ligand, and T-cell evidence exists.	no immune presentation, synthetic peptide, or T-cell function claim without direct evidence	tier1_core_thesis
P05.06	P05	Computational-wet-lab firewall	Prevent gene-level perturbation support from becoming peptide-level assertion.	from missing wet-lab validation to explicit cross-layer claim control	claim safety boundary	readiness audit and immune evidence ladder	implemented_as_claim_boundary_but_not_as_main_thesis	Keep wet-lab and immune claims blocked unless direct event, ligand, and T-cell evidence exists.	no immune presentation, synthetic peptide, or T-cell function claim without direct evidence	tier2_supporting_frame
P05.07	P05	Computational-wet-lab firewall	Define evidence layers for sequence event, ligand presentation, and T-cell function.	from missing wet-lab validation to explicit cross-layer claim control	claim safety boundary	readiness audit and immune evidence ladder	implemented_as_claim_boundary_but_not_as_main_thesis	Keep wet-lab and immune claims blocked unless direct event, ligand, and T-cell evidence exists.	no immune presentation, synthetic peptide, or T-cell function claim without direct evidence	tier2_supporting_frame
P05.08	P05	Computational-wet-lab firewall	Require each layer to have its own source table before prose can use it.	from missing wet-lab validation to explicit cross-layer claim control	claim safety boundary	readiness audit and immune evidence ladder	implemented_as_claim_boundary_but_not_as_main_thesis	Keep wet-lab and immune claims blocked unless direct event, ligand, and T-cell evidence exists.	no immune presentation, synthetic peptide, or T-cell function claim without direct evidence	tier2_supporting_frame
P05.09	P05	Computational-wet-lab firewall	Make immune-readiness blockers reviewer-visible.	from missing wet-lab validation to explicit cross-layer claim control	claim safety boundary	readiness audit and immune evidence ladder	implemented_as_claim_boundary_but_not_as_main_thesis	Keep wet-lab and immune claims blocked unless direct event, ligand, and T-cell evidence exists.	no immune presentation, synthetic peptide, or T-cell function claim without direct evidence	tier2_supporting_frame
P05.10	P05	Computational-wet-lab firewall	Position PGAA as a tool that prevents evidentiary inflation.	from missing wet-lab validation to explicit cross-layer claim control	claim safety boundary	readiness audit and immune evidence ladder	implemented_as_claim_boundary_but_not_as_main_thesis	Keep wet-lab and immune claims blocked unless direct event, ligand, and T-cell evidence exists.	no immune presentation, synthetic peptide, or T-cell function claim without direct evidence	tier2_supporting_frame
P06.01	P06	Dual-mode PGAA evidence	Separate Wasserstein distributional displacement from histogram-shape evidence.	from one statistic to distribution-shift and shape-state complementarity	method mechanics	PGAA-W and PGAA-H target-level support states	strategy_defined_needs_manuscript_integration	Clarify single-mode versus dual-mode PGAA support in the external claim-state paragraph.	single-mode support is weaker than dual-mode support	tier2_supporting_frame
P06.02	P06	Dual-mode PGAA evidence	Use PGAA-W and PGAA-H as complementary evidence modes.	from one statistic to distribution-shift and shape-state complementarity	method mechanics	PGAA-W and PGAA-H target-level support states	strategy_defined_needs_manuscript_integration	Clarify single-mode versus dual-mode PGAA support in the external claim-state paragraph.	single-mode support is weaker than dual-mode support	tier2_supporting_frame
P06.03	P06	Dual-mode PGAA evidence	Define dual-mode support as a stronger computational state.	from one statistic to distribution-shift and shape-state complementarity	method mechanics	PGAA-W and PGAA-H target-level support states	strategy_defined_needs_manuscript_integration	Clarify single-mode versus dual-mode PGAA support in the external claim-state paragraph.	single-mode support is weaker than dual-mode support	tier2_supporting_frame
P06.04	P06	Dual-mode PGAA evidence	Retain single-mode support as bounded but weaker evidence.	from one statistic to distribution-shift and shape-state complementarity	method mechanics	PGAA-W and PGAA-H target-level support states	strategy_defined_needs_manuscript_integration	Clarify single-mode versus dual-mode PGAA support in the external claim-state paragraph.	single-mode support is weaker than dual-mode support	tier2_supporting_frame
P06.05	P06	Dual-mode PGAA evidence	Interpret mode discordance as biologically or technically informative.	from one statistic to distribution-shift and shape-state complementarity	method mechanics	PGAA-W and PGAA-H target-level support states	strategy_defined_needs_manuscript_integration	Clarify single-mode versus dual-mode PGAA support in the external claim-state paragraph.	single-mode support is weaker than dual-mode support	tier2_supporting_frame
P06.06	P06	Dual-mode PGAA evidence	Report mode-specific ranks and p-values instead of collapsing support.	from one statistic to distribution-shift and shape-state complementarity	method mechanics	PGAA-W and PGAA-H target-level support states	strategy_defined_needs_manuscript_integration	Clarify single-mode versus dual-mode PGAA support in the external claim-state paragraph.	single-mode support is weaker than dual-mode support	tier2_supporting_frame
P06.07	P06	Dual-mode PGAA evidence	Use target-only permutation p-values only for the predeclared claim-state rule.	from one statistic to distribution-shift and shape-state complementarity	method mechanics	PGAA-W and PGAA-H target-level support states	strategy_defined_needs_manuscript_integration	Clarify single-mode versus dual-mode PGAA support in the external claim-state paragraph.	single-mode support is weaker than dual-mode support	tier2_supporting_frame
P06.08	P06	Dual-mode PGAA evidence	Preserve full-gene observed ranks for interpretability.	from one statistic to distribution-shift and shape-state complementarity	method mechanics	PGAA-W and PGAA-H target-level support states	strategy_defined_needs_manuscript_integration	Clarify single-mode versus dual-mode PGAA support in the external claim-state paragraph.	single-mode support is weaker than dual-mode support	tier2_supporting_frame
P06.09	P06	Dual-mode PGAA evidence	Make the two PGAA modes part of the external claim-state compiler.	from one statistic to distribution-shift and shape-state complementarity	method mechanics	PGAA-W and PGAA-H target-level support states	strategy_defined_needs_manuscript_integration	Clarify single-mode versus dual-mode PGAA support in the external claim-state paragraph.	single-mode support is weaker than dual-mode support	tier2_supporting_frame
P06.10	P06	Dual-mode PGAA evidence	Avoid calling PGAA-H or PGAA-W alone a validated biological mechanism.	from one statistic to distribution-shift and shape-state complementarity	method mechanics	PGAA-W and PGAA-H target-level support states	strategy_defined_needs_manuscript_integration	Clarify single-mode versus dual-mode PGAA support in the external claim-state paragraph.	single-mode support is weaker than dual-mode support	tier2_supporting_frame
P07.01	P07	Executable manuscript boundary	Generate manuscript sections from evidence payloads.	from written claims to tested manuscript invariants	submission hardening	manuscript audit tests and generated drafts	partially_implemented_in_current_recharter	Describe the manuscript audit as an executable claim-boundary layer.	drafts fail if required evidence references or boundaries disappear	tier1_core_thesis
P07.02	P07	Executable manuscript boundary	Audit required evidence references in each draft.	from written claims to tested manuscript invariants	submission hardening	manuscript audit tests and generated drafts	partially_implemented_in_current_recharter	Describe the manuscript audit as an executable claim-boundary layer.	drafts fail if required evidence references or boundaries disappear	tier1_core_thesis
P07.03	P07	Executable manuscript boundary	Audit forbidden unsupported phrases outside the forbidden-phrase list.	from written claims to tested manuscript invariants	submission hardening	manuscript audit tests and generated drafts	partially_implemented_in_current_recharter	Describe the manuscript audit as an executable claim-boundary layer.	drafts fail if required evidence references or boundaries disappear	tier1_core_thesis
P07.04	P07	Executable manuscript boundary	Test that same-context replication boundaries are explicit.	from written claims to tested manuscript invariants	submission hardening	manuscript audit tests and generated drafts	partially_implemented_in_current_recharter	Describe the manuscript audit as an executable claim-boundary layer.	drafts fail if required evidence references or boundaries disappear	tier1_core_thesis
P07.05	P07	Executable manuscript boundary	Keep blocked evidence visible in the manuscript body.	from written claims to tested manuscript invariants	submission hardening	manuscript audit tests and generated drafts	partially_implemented_in_current_recharter	Describe the manuscript audit as an executable claim-boundary layer.	drafts fail if required evidence references or boundaries disappear	tier1_core_thesis
P07.06	P07	Executable manuscript boundary	Make figure captions source-driven rather than decorative.	from written claims to tested manuscript invariants	submission hardening	manuscript audit tests and generated drafts	partially_implemented_in_current_recharter	Describe the manuscript audit as an executable claim-boundary layer.	drafts fail if required evidence references or boundaries disappear	tier2_supporting_frame
P07.07	P07	Executable manuscript boundary	Use tests to prevent accidental claim inflation during style revision.	from written claims to tested manuscript invariants	submission hardening	manuscript audit tests and generated drafts	partially_implemented_in_current_recharter	Describe the manuscript audit as an executable claim-boundary layer.	drafts fail if required evidence references or boundaries disappear	tier2_supporting_frame
P07.08	P07	Executable manuscript boundary	Treat manuscript readiness as a machine-checkable contract.	from written claims to tested manuscript invariants	submission hardening	manuscript audit tests and generated drafts	partially_implemented_in_current_recharter	Describe the manuscript audit as an executable claim-boundary layer.	drafts fail if required evidence references or boundaries disappear	tier2_supporting_frame
P07.09	P07	Executable manuscript boundary	Keep journal-style prose aligned with evidence tables.	from written claims to tested manuscript invariants	submission hardening	manuscript audit tests and generated drafts	partially_implemented_in_current_recharter	Describe the manuscript audit as an executable claim-boundary layer.	drafts fail if required evidence references or boundaries disappear	tier2_supporting_frame
P07.10	P07	Executable manuscript boundary	Use executable boundaries as reviewer-facing transparency.	from written claims to tested manuscript invariants	submission hardening	manuscript audit tests and generated drafts	partially_implemented_in_current_recharter	Describe the manuscript audit as an executable claim-boundary layer.	drafts fail if required evidence references or boundaries disappear	tier2_supporting_frame
P08.01	P08	Decision-object figure system	Make Figure 1 a claim-control object rather than a pipeline illustration.	from workflow schematic to auditable decision object	main figure strategy	main_figure_source_data and render report	implemented_in_executable_recharter_chain	Add the formal transition contract as the next source-driven decision figure.	figure panels cannot imply wet-lab validation	tier1_core_thesis
P08.02	P08	Decision-object figure system	Panel A shows claim-state and guardrail distribution.	from workflow schematic to auditable decision object	main figure strategy	main_figure_source_data and render report	implemented_in_executable_recharter_chain	Add the formal transition contract as the next source-driven decision figure.	figure panels cannot imply wet-lab validation	tier1_core_thesis
P08.03	P08	Decision-object figure system	Panel B shows responder-state decision units.	from workflow schematic to auditable decision object	main figure strategy	main_figure_source_data and render report	implemented_in_executable_recharter_chain	Add the formal transition contract as the next source-driven decision figure.	figure panels cannot imply wet-lab validation	tier1_core_thesis
P08.04	P08	Decision-object figure system	Panel C shows internal stability and external typed replication status.	from workflow schematic to auditable decision object	main figure strategy	main_figure_source_data and render report	implemented_in_executable_recharter_chain	Add the formal transition contract as the next source-driven decision figure.	figure panels cannot imply wet-lab validation	tier1_core_thesis
P08.05	P08	Decision-object figure system	Use source rows for every plotted element.	from workflow schematic to auditable decision object	main figure strategy	main_figure_source_data and render report	implemented_in_executable_recharter_chain	Add the formal transition contract as the next source-driven decision figure.	figure panels cannot imply wet-lab validation	tier1_core_thesis
P08.06	P08	Decision-object figure system	Show external blocked states rather than omitting them.	from workflow schematic to auditable decision object	main figure strategy	main_figure_source_data and render report	implemented_in_executable_recharter_chain	Add the formal transition contract as the next source-driven decision figure.	figure panels cannot imply wet-lab validation	tier2_supporting_frame
P08.07	P08	Decision-object figure system	Show external concordance without implying wet-lab validation.	from workflow schematic to auditable decision object	main figure strategy	main_figure_source_data and render report	implemented_in_executable_recharter_chain	Add the formal transition contract as the next source-driven decision figure.	figure panels cannot imply wet-lab validation	tier2_supporting_frame
P08.08	P08	Decision-object figure system	Keep method-sensitive units visible in the main figure.	from workflow schematic to auditable decision object	main figure strategy	main_figure_source_data and render report	implemented_in_executable_recharter_chain	Add the formal transition contract as the next source-driven decision figure.	figure panels cannot imply wet-lab validation	tier2_supporting_frame
P08.09	P08	Decision-object figure system	Render figure reports that state allowed interpretation.	from workflow schematic to auditable decision object	main figure strategy	main_figure_source_data and render report	implemented_in_executable_recharter_chain	Add the formal transition contract as the next source-driven decision figure.	figure panels cannot imply wet-lab validation	tier2_supporting_frame
P08.10	P08	Decision-object figure system	Use the figure as a compact reviewer audit surface.	from workflow schematic to auditable decision object	main figure strategy	main_figure_source_data and render report	implemented_in_executable_recharter_chain	Add the formal transition contract as the next source-driven decision figure.	figure panels cannot imply wet-lab validation	tier2_supporting_frame
P09.01	P09	Claim-state stability theory	Define stability over claim states rather than raw scores only.	from stable score to stable allowed interpretation	conceptual contribution	leave-one-method and external integration summaries	implemented_in_executable_recharter_chain	Extend permission-stability analysis to additional external datasets and empirical row-level perturbations.	a stable score is insufficient unless the allowed claim is stable	tier1_core_thesis
P09.02	P09	Claim-state stability theory	Track whether leave-one-method omission changes the decision state.	from stable score to stable allowed interpretation	conceptual contribution	leave-one-method and external integration summaries	implemented_in_executable_recharter_chain	Extend permission-stability analysis to additional external datasets and empirical row-level perturbations.	a stable score is insufficient unless the allowed claim is stable	tier1_core_thesis
P09.03	P09	Claim-state stability theory	Separate method-sensitive from PGAA-support-dependent units.	from stable score to stable allowed interpretation	conceptual contribution	leave-one-method and external integration summaries	implemented_in_executable_recharter_chain	Extend permission-stability analysis to additional external datasets and empirical row-level perturbations.	a stable score is insufficient unless the allowed claim is stable	tier1_core_thesis
P09.04	P09	Claim-state stability theory	Join stability class to external claim-state status.	from stable score to stable allowed interpretation	conceptual contribution	leave-one-method and external integration summaries	implemented_in_executable_recharter_chain	Extend permission-stability analysis to additional external datasets and empirical row-level perturbations.	a stable score is insufficient unless the allowed claim is stable	tier1_core_thesis
P09.05	P09	Claim-state stability theory	Make claim transitions inspectable across methods.	from stable score to stable allowed interpretation	conceptual contribution	leave-one-method and external integration summaries	implemented_in_executable_recharter_chain	Extend permission-stability analysis to additional external datasets and empirical row-level perturbations.	a stable score is insufficient unless the allowed claim is stable	tier1_core_thesis
P09.06	P09	Claim-state stability theory	Treat stability loss as an interpretive result.	from stable score to stable allowed interpretation	conceptual contribution	leave-one-method and external integration summaries	implemented_in_executable_recharter_chain	Extend permission-stability analysis to additional external datasets and empirical row-level perturbations.	a stable score is insufficient unless the allowed claim is stable	tier2_supporting_frame
P09.07	P09	Claim-state stability theory	Distinguish internal stability from external concordance.	from stable score to stable allowed interpretation	conceptual contribution	leave-one-method and external integration summaries	implemented_in_executable_recharter_chain	Extend permission-stability analysis to additional external datasets and empirical row-level perturbations.	a stable score is insufficient unless the allowed claim is stable	tier2_supporting_frame
P09.08	P09	Claim-state stability theory	Use claim-state stability as a general benchmark criterion.	from stable score to stable allowed interpretation	conceptual contribution	leave-one-method and external integration summaries	implemented_in_executable_recharter_chain	Extend permission-stability analysis to additional external datasets and empirical row-level perturbations.	a stable score is insufficient unless the allowed claim is stable	tier2_supporting_frame
